Elapsed time,AECG1,AECG2,AECG3,AECG4
'0:07.991',3.4,-5.4,-2.4,-3.4
'0:07.992',3.5,-5.2,-2.5,-3.5
'0:07.993',3.5,-4.9,-2.7,-3.6
'0:07.994',3.5,-4.8,-2.8,-3.7
'0:07.995',3.5,-4.6,-2.9,-3.8
'0:07.996',3.6,-4.5,-3,-3.9
'0:07.997',3.7,-4.4,-3.1,-3.9
'0:07.998',3.8,-4.3,-3.1,-3.9
'0:07.999',3.8,-4.3,-3.1,-3.9
'0:08.000',3.8,-4.5,-3.2,-3.9
'0:08.001',3.8,-4.8,-3.2,-3.8
'0:08.002',3.8,-5.2,-3.3,-3.7
'0:08.003',3.8,-5.8,-3.3,-3.5
'0:08.004',3.8,-6.5,-3.2,-3.3
'0:08.005',3.8,-7.2,-3.2,-3.1
'0:08.006',3.8,-8,-3.2,-2.9
'0:08.007',3.6,-8.9,-3.3,-2.8
'0:08.008',3.6,-9.8,-3.4,-2.7
'0:08.009',3.5,-10.7,-3.5,-2.6
'0:08.010',3.5,-11.5,-3.6,-2.5
'0:08.011',3.6,-12,-3.8,-2.4
'0:08.012',3.6,-12.1,-4,-2.5
'0:08.013',3.5,-12.1,-4.2,-2.7
'0:08.014',3.5,-12,-4.3,-2.9
'0:08.015',3.5,-11.7,-4.5,-3.2
'0:08.016',3.6,-11.3,-4.6,-3.4
'0:08.017',3.7,-10.5,-4.6,-3.7
'0:08.018',3.8,-9.6,-4.7,-3.9
'0:08.019',3.9,-8.7,-4.7,-4.1
'0:08.020',4,-8,-4.7,-4.3
'0:08.021',4,-7.6,-4.6,-4.5
'0:08.022',4,-7.3,-4.5,-4.6
'0:08.023',4,-7.1,-4.5,-4.8
'0:08.024',4,-7,-4.5,-4.9
'0:08.025',4,-6.9,-4.5,-5.1
'0:08.026',4,-7.1,-4.5,-5.2
'0:08.027',4,-7.4,-4.5,-5.4
'0:08.028',4,-7.7,-4.4,-5.5
'0:08.029',3.9,-7.9,-4.3,-5.8
'0:08.030',3.8,-8,-4.3,-6
'0:08.031',3.7,-8.3,-4.3,-6.3
'0:08.032',3.6,-8.5,-4.3,-6.6
'0:08.033',3.6,-8.6,-4.3,-6.9
'0:08.034',3.6,-8.4,-4.4,-7.2
'0:08.035',3.5,-8.2,-4.5,-7.4
'0:08.036',3.5,-8.3,-4.6,-7.6
'0:08.037',3.5,-9,-4.7,-7.7
'0:08.038',3.4,-10.1,-4.8,-7.8
'0:08.039',3.4,-11.2,-4.9,-7.9
'0:08.040',3.3,-12,-4.9,-7.9
'0:08.041',3.3,-12.6,-5,-7.8
'0:08.042',3.3,-13.1,-5.1,-7.6
'0:08.043',3.3,-13.8,-5.1,-7.4
'0:08.044',3.3,-14.3,-5,-7.2
'0:08.045',3.3,-14.6,-5,-6.9
'0:08.046',3.3,-14.3,-4.9,-6.7
'0:08.047',3.3,-13.7,-4.9,-6.4
'0:08.048',3.2,-12.9,-4.9,-6.2
'0:08.049',3.2,-12.2,-4.9,-6.1
'0:08.050',3.2,-11.5,-4.9,-6
'0:08.051',3.3,-10.8,-4.9,-5.9
'0:08.052',3.4,-10.2,-4.8,-5.8
'0:08.053',3.5,-9.7,-4.8,-5.8
'0:08.054',3.5,-9.6,-4.7,-5.9
'0:08.055',3.5,-10,-4.7,-6
'0:08.056',3.5,-10.8,-4.6,-6.1
'0:08.057',3.5,-12,-4.6,-6.1
'0:08.058',3.5,-13.2,-4.6,-6
'0:08.059',3.6,-14.4,-4.6,-6
'0:08.060',3.6,-15.5,-4.6,-6.1
'0:08.061',3.6,-16.6,-4.7,-6.3
'0:08.062',3.6,-17.6,-4.7,-6.6
'0:08.063',3.5,-18.3,-4.8,-6.8
'0:08.064',3.4,-18.5,-4.8,-7
'0:08.065',3.3,-18.2,-4.9,-7
'0:08.066',3.2,-17.5,-4.9,-7.1
'0:08.067',3.1,-16.5,-4.9,-7.2
'0:08.068',3,-15.5,-4.8,-7.3
'0:08.069',2.9,-14.5,-4.7,-7.3
'0:08.070',2.7,-13.4,-4.5,-7.3
'0:08.071',2.5,-12.3,-4.3,-7.2
'0:08.072',2.3,-11,-4.1,-7.1
'0:08.073',2.1,-9.8,-3.9,-7.1
'0:08.074',2,-8.9,-3.7,-7.1
'0:08.075',1.8,-8.3,-3.4,-7.2
'0:08.076',1.7,-7.9,-3.2,-7.1
'0:08.077',1.6,-7.8,-3,-7.1
'0:08.078',1.5,-7.7,-2.8,-7
'0:08.079',1.3,-7.8,-2.6,-6.9
'0:08.080',1.2,-8.4,-2.4,-6.9
'0:08.081',1,-9.5,-2.3,-6.8
'0:08.082',0.7,-11.1,-2.2,-6.8
'0:08.083',0.5,-13.1,-2.1,-6.8
'0:08.084',0.2,-15,-2,-6.7
'0:08.085',-0.1,-16.7,-1.7,-6.7
'0:08.086',-0.3,-18.2,-1.6,-6.6
'0:08.087',-0.6,-19.4,-1.4,-6.6
'0:08.088',-0.9,-20.3,-1.3,-6.6
'0:08.089',-1.2,-20.9,-1.2,-6.5
'0:08.090',-1.5,-20.9,-1.1,-6.5
'0:08.091',-1.7,-20.1,-1,-6.5
'0:08.092',-2,-18.5,-0.9,-6.4
'0:08.093',-2.3,-16.5,-0.8,-6.3
'0:08.094',-2.6,-14.5,-0.7,-6.1
'0:08.095',-2.9,-12.6,-0.6,-5.9
'0:08.096',-3.2,-10.8,-0.4,-5.9
'0:08.097',-3.4,-8.9,-0.3,-5.9
'0:08.098',-3.6,-7.1,-0.1,-5.9
'0:08.099',-3.9,-5.7,0.1,-5.9
'0:08.100',-4.1,-4.9,0.2,-5.9
'0:08.101',-4.4,-5.1,0.4,-5.9
'0:08.102',-4.6,-6,0.6,-5.8
'0:08.103',-4.9,-7.2,0.8,-5.8
'0:08.104',-5.2,-8.4,1.1,-5.7
'0:08.105',-5.4,-9.5,1.3,-5.5
'0:08.106',-5.5,-10.9,1.5,-5.3
'0:08.107',-5.7,-12.4,1.7,-5.1
'0:08.108',-5.8,-13.8,1.8,-4.8
'0:08.109',-5.9,-14.8,1.9,-4.6
'0:08.110',-5.9,-15.2,1.9,-4.3
'0:08.111',-5.9,-15.2,2,-4
'0:08.112',-5.9,-15.1,2.1,-3.9
'0:08.113',-6,-14.9,2.1,-3.7
'0:08.114',-6,-14.7,2.1,-3.6
'0:08.115',-6,-14.4,2.1,-3.5
'0:08.116',-6.1,-13.6,2,-3.4
'0:08.117',-6.1,-12.6,1.9,-3.3
'0:08.118',-6.1,-11.4,1.8,-3.3
'0:08.119',-6.1,-10.2,1.7,-3.2
'0:08.120',-6,-9.1,1.7,-3.1
'0:08.121',-5.9,-8.1,1.6,-3
'0:08.122',-5.8,-7.1,1.6,-3
'0:08.123',-5.7,-6.1,1.6,-3
'0:08.124',-5.5,-5.3,1.5,-3.2
'0:08.125',-5.4,-4.8,1.6,-3.4
'0:08.126',-5.3,-4.5,1.6,-3.6
'0:08.127',-5.2,-4.4,1.6,-3.7
'0:08.128',-5.1,-4.4,1.7,-3.8
'0:08.129',-4.9,-4.5,1.7,-3.7
'0:08.130',-4.8,-4.8,1.8,-3.7
'0:08.131',-4.6,-5.2,1.8,-3.7
'0:08.132',-4.4,-5.5,1.9,-3.7
'0:08.133',-4.2,-5.6,1.9,-3.7
'0:08.134',-4.1,-5.3,1.9,-3.7
'0:08.135',-4,-4.9,1.9,-3.6
'0:08.136',-3.9,-4.6,1.9,-3.5
'0:08.137',-3.7,-4.6,1.8,-3.3
'0:08.138',-3.6,-4.9,1.8,-3.1
'0:08.139',-3.4,-5,1.8,-2.8
'0:08.140',-3.4,-4.8,1.7,-2.6
'0:08.141',-3.3,-4.1,1.7,-2.3
'0:08.142',-3.3,-3.3,1.6,-2.1
'0:08.143',-3.3,-2.4,1.6,-1.8
'0:08.144',-3.2,-1.6,1.5,-1.6
'0:08.145',-3.2,-0.8,1.5,-1.4
'0:08.146',-3.1,0.2,1.5,-1.2
'0:08.147',-3,1.3,1.6,-1.1
'0:08.148',-3,2.2,1.6,-0.9
'0:08.149',-2.9,3,1.5,-0.8
'0:08.150',-2.8,3.6,1.5,-0.5
'0:08.151',-2.7,4.2,1.5,-0.4
'0:08.152',-2.5,4.7,1.4,-0.2
'0:08.153',-2.3,5,1.4,-0.1
'0:08.154',-2.2,5.1,1.3,-0.2
'0:08.155',-2,4.9,1.3,-0.2
'0:08.156',-1.9,4.5,1.3,-0.2
'0:08.157',-1.7,3.9,1.3,-0.1
'0:08.158',-1.5,3.2,1.2,0
'0:08.159',-1.4,2.6,1.2,0
'0:08.160',-1.2,1.9,1.2,-0.2
'0:08.161',-1.1,1.1,1.2,-0.4
'0:08.162',-1,0.3,1.2,-0.7
'0:08.163',-1,-0.6,1.2,-0.8
'0:08.164',-1.1,-1.3,1.2,-0.8
'0:08.165',-1.1,-2,1.3,-0.8
'0:08.166',-1,-2.6,1.4,-0.8
'0:08.167',-0.9,-3.2,1.4,-0.8
'0:08.168',-0.8,-4,1.4,-0.9
'0:08.169',-0.8,-4.7,1.4,-0.8
'0:08.170',-0.7,-5.4,1.3,-0.7
'0:08.171',-0.8,-5.9,1.3,-0.5
'0:08.172',-0.8,-6.4,1.3,-0.3
'0:08.173',-0.9,-6.9,1.4,0.1
'0:08.174',-1,-7.3,1.4,0.4
'0:08.175',-1,-7.7,1.4,0.7
'0:08.176',-1.2,-8.1,1.4,0.9
'0:08.177',-1.3,-8.5,1.4,1
'0:08.178',-1.5,-8.9,1.5,1
'0:08.179',-1.7,-9.3,1.5,0.9
'0:08.180',-1.9,-9.4,1.5,0.8
'0:08.181',-2.1,-9,1.5,0.7
'0:08.182',-2.2,-7.9,1.4,0.5
'0:08.183',-2.2,-6.5,1.3,0.2
'0:08.184',-1.8,-4.9,1.1,-0.2
'0:08.185',-1.2,-3.4,0.9,-0.8
'0:08.186',-0.3,-2,0.5,-1.5
'0:08.187',0.8,-0.6,0.1,-2.3
'0:08.188',2.2,0.7,-0.4,-3.3
'0:08.189',3.6,1.8,-0.9,-4.3
'0:08.190',5.1,2.8,-1.3,-5.4
'0:08.191',6.5,3.4,-1.6,-6.5
'0:08.192',7.8,3.7,-1.7,-7.6
'0:08.193',8.6,3.9,-1.7,-8.7
'0:08.194',9.2,3.9,-1.5,-9.6
'0:08.195',9.5,4,-1.1,-10.2
'0:08.196',9.6,3.8,-0.8,-10.2
'0:08.197',9.6,3.5,-0.7,-9.8
'0:08.198',9.3,3.1,-0.7,-9
'0:08.199',8.6,2.6,-0.7,-8
'0:08.200',7.6,2.2,-0.6,-6.8
'0:08.201',6.1,1.9,-0.3,-5.6
'0:08.202',4.4,1.8,0.2,-4.4
'0:08.203',2.6,1.8,0.7,-3.3
'0:08.204',0.9,1.8,1.3,-2.3
'0:08.205',-0.6,2.1,1.6,-1.5
'0:08.206',-1.6,2.6,1.8,-0.8
'0:08.207',-2.3,3.3,1.9,-0.3
'0:08.208',-2.6,4.1,1.8,0.1
'0:08.209',-2.7,4.7,1.6,0.4
'0:08.210',-2.7,5,1.3,0.5
'0:08.211',-2.7,5.1,1.1,0.6
'0:08.212',-2.6,5.1,0.9,0.6
'0:08.213',-2.4,4.9,0.7,0.5
'0:08.214',-2.2,4.7,0.6,0.3
'0:08.215',-2,4.4,0.5,0.1
'0:08.216',-1.8,3.9,0.4,-0.1
'0:08.217',-1.7,3.3,0.4,-0.3
'0:08.218',-1.6,2.6,0.4,-0.4
'0:08.219',-1.6,2,0.4,-0.5
'0:08.220',-1.5,1.4,0.4,-0.5
'0:08.221',-1.5,0.9,0.4,-0.5
'0:08.222',-1.4,0.5,0.5,-0.5
'0:08.223',-1.3,0.1,0.7,-0.4
'0:08.224',-1.1,-0.2,0.8,-0.4
'0:08.225',-1,-0.4,0.9,-0.3
'0:08.226',-0.8,-0.5,1,-0.2
'0:08.227',-0.6,-0.5,1,-0.1
'0:08.228',-0.4,-0.4,1.1,-0.1
'0:08.229',-0.4,-0.4,1.1,-0.2
'0:08.230',-0.3,-0.4,1,-0.3
'0:08.231',-0.2,-0.3,0.9,-0.3
'0:08.232',-0.1,-0.2,0.7,-0.4
'0:08.233',0,-0.1,0.6,-0.5
'0:08.234',0,-0.1,0.5,-0.5
'0:08.235',-0.1,-0.2,0.5,-0.6
'0:08.236',0,-0.3,0.6,-0.6
'0:08.237',0.1,-0.3,0.7,-0.6
'0:08.238',0.2,-0.2,0.9,-0.6
'0:08.239',0.4,-0.1,1.1,-0.5
'0:08.240',0.4,-0.2,1.3,-0.5
'0:08.241',0.3,-0.3,1.5,-0.6
'0:08.242',0.2,-0.6,1.7,-0.7
'0:08.243',0.1,-0.9,1.8,-0.7
'0:08.244',0,-1.1,1.9,-0.7
'0:08.245',-0.1,-1.3,2,-0.6
'0:08.246',-0.2,-1.3,2,-0.5
'0:08.247',-0.3,-1.4,2.1,-0.4
'0:08.248',-0.4,-1.5,2.2,-0.2
'0:08.249',-0.5,-1.7,2.3,0.1
'0:08.250',-0.6,-1.8,2.3,0.4
'0:08.251',-0.8,-1.9,2.3,0.7
'0:08.252',-0.9,-1.9,2.4,0.9
'0:08.253',-1,-1.8,2.4,1
'0:08.254',-1,-1.8,2.5,1
'0:08.255',-1,-1.8,2.6,1
'0:08.256',-0.9,-1.8,2.7,1.1
'0:08.257',-0.9,-1.8,2.7,1.2
'0:08.258',-0.9,-1.8,2.8,1.3
'0:08.259',-0.9,-1.8,2.8,1.2
'0:08.260',-0.9,-1.8,2.8,0.9
'0:08.261',-1,-1.9,3,0.4
'0:08.262',-1.1,-2,3.1,0
'0:08.263',-1.3,-2.1,3.2,-0.3
'0:08.264',-1.5,-2.2,3.3,-0.5
'0:08.265',-1.8,-2.4,3.3,-0.8
'0:08.266',-2,-2.7,3.3,-1.1
'0:08.267',-2.3,-2.9,3.4,-1.4
'0:08.268',-2.5,-3.3,3.6,-1.6
'0:08.269',-2.8,-3.6,3.8,-1.7
'0:08.270',-3.1,-4,3.8,-1.8
'0:08.271',-3.4,-4.3,3.7,-1.9
'0:08.272',-3.7,-4.7,3.4,-2
'0:08.273',-3.9,-4.9,3.2,-2.2
'0:08.274',-3.9,-5.1,3,-2.3
'0:08.275',-4,-5.2,2.7,-2.5
'0:08.276',-4.1,-5.4,2.3,-2.6
'0:08.277',-4.3,-5.6,2,-2.7
'0:08.278',-4.5,-5.8,1.8,-2.7
'0:08.279',-4.7,-6,2,-2.8
'0:08.280',-4.9,-6.1,2.2,-2.9
'0:08.281',-5.1,-6.3,2.6,-2.9
'0:08.282',-5.4,-6.5,3,-2.9
'0:08.283',-5.7,-6.6,3.4,-3
'0:08.284',-6.1,-6.7,3.9,-3
'0:08.285',-6.4,-6.7,4.5,-3.1
'0:08.286',-6.7,-6.7,5,-3.2
'0:08.287',-7.1,-6.7,5.4,-3.3
'0:08.288',-7.4,-6.7,5.6,-3.4
'0:08.289',-7.7,-6.8,5.5,-3.6
'0:08.290',-8,-6.9,5.3,-3.7
'0:08.291',-8.4,-7,5,-3.8
'0:08.292',-8.7,-7.1,4.7,-3.8
'0:08.293',-9,-7.2,4.2,-3.8
'0:08.294',-9.4,-7.4,3.6,-3.8
'0:08.295',-9.7,-7.6,2.8,-3.8
'0:08.296',-10.1,-7.9,1.9,-3.7
'0:08.297',-10.4,-8.1,1.2,-3.7
'0:08.298',-10.7,-8.2,0.6,-3.8
'0:08.299',-10.9,-8.2,0.2,-3.8
'0:08.300',-11.1,-8.3,0,-4
'0:08.301',-11.4,-8.4,0,-4.1
'0:08.302',-11.6,-8.6,0.1,-4.3
'0:08.303',-11.8,-8.8,0.4,-4.7
'0:08.304',-12,-8.9,1.1,-5
'0:08.305',-12.2,-9,2.1,-5.4
'0:08.306',-12.5,-8.9,3.3,-5.9
'0:08.307',-12.8,-8.9,4.6,-6.3
'0:08.308',-13.1,-8.9,5.7,-6.7
'0:08.309',-13.4,-8.8,6.7,-7
'0:08.310',-13.6,-8.8,7.5,-7.3
'0:08.311',-13.9,-8.8,8.4,-7.5
'0:08.312',-14.1,-8.8,9.1,-7.7
'0:08.313',-14.4,-8.9,9.6,-7.8
'0:08.314',-14.7,-8.9,9.6,-7.9
'0:08.315',-15,-9,9.1,-8
'0:08.316',-15.3,-9.1,8.2,-7.9
'0:08.317',-15.5,-9.2,7.2,-7.8
'0:08.318',-15.8,-9.4,6.2,-7.7
'0:08.319',-16,-9.4,5.3,-7.6
'0:08.320',-16.2,-9.5,4.2,-7.4
'0:08.321',-16.4,-9.4,3.2,-7.2
'0:08.322',-16.5,-9.1,2.2,-7
'0:08.323',-16.5,-8.9,1.6,-6.9
'0:08.324',-16.6,-8.6,1.4,-6.8
'0:08.325',-16.7,-8.4,1.7,-6.7
'0:08.326',-16.8,-8.1,2.2,-6.8
'0:08.327',-16.9,-7.8,2.8,-6.7
'0:08.328',-16.9,-7.4,3.6,-6.7
'0:08.329',-16.9,-7,4.5,-6.6
'0:08.330',-16.8,-6.7,5.6,-6.5
'0:08.331',-16.7,-6.7,6.8,-6.4
'0:08.332',-16.7,-6.7,7.9,-6.4
'0:08.333',-16.6,-6.7,8.9,-6.3
'0:08.334',-16.5,-6.6,9.6,-6.3
'0:08.335',-16.4,-6.6,10,-6.3
'0:08.336',-16.2,-6.7,10.3,-6.2
'0:08.337',-16.1,-7.2,10.5,-6.2
'0:08.338',-15.9,-8,10.5,-6.2
'0:08.339',-15.8,-8.8,10.3,-6.3
'0:08.340',-15.6,-9.3,9.8,-6.4
'0:08.341',-15.4,-9.6,9.1,-6.6
'0:08.342',-15.2,-9.8,8.4,-6.7
'0:08.343',-15,-10.1,7.7,-6.7
'0:08.344',-14.8,-10.4,7,-6.7
'0:08.345',-14.6,-10.6,6.2,-6.7
'0:08.346',-14.4,-10.7,5.5,-6.7
'0:08.347',-14.1,-10.5,5,-6.6
'0:08.348',-13.9,-10.2,4.8,-6.5
'0:08.349',-13.6,-9.9,4.8,-6.2
'0:08.350',-13.3,-9.6,4.8,-5.8
'0:08.351',-13.1,-9.2,4.7,-5.4
'0:08.352',-12.8,-8.7,4.3,-4.9
'0:08.353',-12.6,-8.1,3.9,-4.6
'0:08.354',-12.2,-7.4,3.9,-4.2
'0:08.355',-11.9,-6.8,4.1,-3.8
'0:08.356',-11.5,-6.2,4.4,-3.5
'0:08.357',-11.2,-5.7,4.7,-3.2
'0:08.358',-10.9,-5.1,4.9,-2.9
'0:08.359',-10.5,-4.5,4.9,-2.8
'0:08.360',-10.1,-4,5.1,-2.7
'0:08.361',-9.7,-3.5,5.1,-2.6
'0:08.362',-9.3,-3.1,5.2,-2.5
'0:08.363',-8.9,-2.8,5.2,-2.4
'0:08.364',-8.3,-2.5,5,-2.4
'0:08.365',-7.7,-2.3,4.8,-2.3
'0:08.366',-7.1,-2,4.6,-2.3
'0:08.367',-6.4,-1.8,4.4,-2.3
'0:08.368',-5.7,-1.6,4.1,-2.3
'0:08.369',-5.1,-1.4,3.7,-2.3
'0:08.370',-4.5,-1.4,3.2,-2.3
'0:08.371',-4,-1.4,2.7,-2.2
'0:08.372',-3.4,-1.3,2.2,-2.2
'0:08.373',-2.9,-1.1,1.6,-2.1
'0:08.374',-2.5,-0.9,1.1,-2.1
'0:08.375',-2.1,-0.7,0.6,-2
'0:08.376',-1.8,-0.5,0.1,-1.8
'0:08.377',-1.5,-0.4,-0.3,-1.7
'0:08.378',-1.3,-0.3,-0.7,-1.5
'0:08.379',-1,-0.2,-0.9,-1.4
'0:08.380',-0.8,0,-1.1,-1.3
'0:08.381',-0.6,0.2,-1.2,-1.1
'0:08.382',-0.4,0.3,-1.2,-1
'0:08.383',-0.1,0.4,-1.2,-0.8
'0:08.384',0.1,0.5,-1.1,-0.7
'0:08.385',0.3,0.6,-1,-0.7
'0:08.386',0.6,0.7,-0.9,-0.8
'0:08.387',0.8,0.7,-0.9,-0.8
'0:08.388',0.9,0.8,-1.1,-0.9
'0:08.389',1.1,0.7,-1.3,-0.9
'0:08.390',1.3,0.6,-1.4,-0.8
'0:08.391',1.5,0.4,-1.5,-0.8
'0:08.392',1.7,0.3,-1.6,-0.8
'0:08.393',1.9,0.2,-1.8,-0.9
'0:08.394',2,0.1,-1.9,-1
'0:08.395',2.2,0.1,-2.1,-1.1
'0:08.396',2.3,0.1,-2.1,-1.2
'0:08.397',2.4,0.1,-2.1,-1.2
'0:08.398',2.6,0,-2,-1.2
'0:08.399',2.7,0.1,-1.8,-1.1
'0:08.400',2.8,0.2,-1.7,-1.1
'0:08.401',2.9,0.5,-1.5,-1
'0:08.402',2.9,0.9,-1.4,-1
'0:08.403',2.9,1.3,-1.1,-0.9
'0:08.404',3,1.6,-1,-0.7
'0:08.405',3.1,2,-0.9,-0.5
'0:08.406',3.1,2.4,-0.9,-0.3
'0:08.407',3.1,2.9,-1.1,-0.1
'0:08.408',3.1,3.4,-1.3,0.1
'0:08.409',3.2,3.6,-1.6,0.2
'0:08.410',3.3,3.7,-1.8,0.3
'0:08.411',3.4,3.7,-2.1,0.4
'0:08.412',3.5,3.6,-2.3,0.4
'0:08.413',3.6,3.5,-2.6,0.5
'0:08.414',3.6,3.3,-2.7,0.5
'0:08.415',3.6,3.2,-2.6,0.4
'0:08.416',3.7,3,-2.3,0.3
'0:08.417',3.6,2.9,-2,0.2
'0:08.418',3.6,2.7,-1.7,0.1
'0:08.419',3.5,2.5,-1.5,0
'0:08.420',3.5,2.3,-1.2,-0.2
'0:08.421',3.4,2.1,-0.8,-0.4
'0:08.422',3.4,1.9,-0.5,-0.6
'0:08.423',3.3,1.7,-0.3,-0.8
'0:08.424',3.2,1.6,-0.2,-0.8
'0:08.425',3.1,1.7,-0.3,-0.8
'0:08.426',3,1.8,-0.4,-0.7
'0:08.427',2.9,2,-0.6,-0.6
'0:08.428',2.8,2.4,-0.8,-0.4
'0:08.429',2.7,2.8,-1,-0.2
'0:08.430',2.7,3.3,-1.2,0.1
'0:08.431',2.9,3.9,-1.3,0.4
'0:08.432',3.2,4.3,-1.4,0.7
'0:08.433',3.3,4.7,-1.3,0.9
'0:08.434',3.2,4.8,-1.2,1.1
'0:08.435',3,4.8,-1,1.3
'0:08.436',3,4.8,-0.8,1.4
'0:08.437',3.3,4.9,-0.4,1.5
'0:08.438',3.8,5,-0.1,1.6
'0:08.439',4.3,5.1,0.2,1.6
'0:08.440',4.5,5.1,0.5,1.7
'0:08.441',4.5,4.9,0.8,1.8
'0:08.442',4.3,4.8,1.2,2
'0:08.443',4.1,4.6,1.6,2.2
'0:08.444',4.1,4.5,1.8,2.3
'0:08.445',4.1,4.6,1.8,2.5
'0:08.446',4.1,4.7,1.8,2.7
'0:08.447',4.1,4.9,2.1,3
'0:08.448',4.1,5.1,2.8,3.3
'0:08.449',4.2,5.1,3.6,3.8
'0:08.450',4.3,5.1,4.3,4.2
'0:08.451',4.6,4.9,4.4,4.6
'0:08.452',4.8,4.9,4.1,5.1
'0:08.453',5,4.9,3.9,5.6
'0:08.454',5.1,5,4,6.3
'0:08.455',5.1,5.1,4.4,6.9
'0:08.456',5.1,5.3,5.1,7.4
'0:08.457',5,5.3,5.6,7.7
'0:08.458',5,5.3,6,7.9
'0:08.459',4.9,5.2,6.5,8.2
'0:08.460',4.9,5,7,8.6
'0:08.461',5,4.8,7.7,9.2
'0:08.462',5.2,4.6,8.4,9.7
'0:08.463',5.5,4.5,8.9,10.1
'0:08.464',5.9,4.5,9.3,10.2
'0:08.465',6.1,4.5,9.7,10.4
'0:08.466',6.3,4.7,10,10.5
'0:08.467',6.3,4.9,10.1,10.6
'0:08.468',6.2,5.2,10.1,10.6
'0:08.469',6,5.4,9.8,10.4
'0:08.470',5.7,5.7,9.3,10.2
'0:08.471',5.2,6,8.8,9.7
'0:08.472',4.6,6.2,8.1,9.4
'0:08.473',4,6.3,7.4,9
'0:08.474',3.4,6.4,6.6,8.6
'0:08.475',3,6.3,5.7,8.2
'0:08.476',2.6,6.2,4.8,7.5
'0:08.477',2.4,6.1,3.9,6.7
'0:08.478',2.4,6.1,2.9,5.8
'0:08.479',2.6,6,1.9,5
'0:08.480',2.8,5.7,0.9,4.3
'0:08.481',3.1,5.3,-0.1,3.6
'0:08.482',3.5,4.5,-1.1,2.8
'0:08.483',4,3.5,-2.2,2
'0:08.484',4.4,2.3,-3.4,1.2
'0:08.485',4.9,0.9,-4.5,0.3
'0:08.486',5.3,-0.6,-5.7,-0.7
'0:08.487',5.8,-2.4,-6.9,-1.9
'0:08.488',6.4,-4.6,-8.2,-3.2
'0:08.489',7.1,-7.2,-9.7,-4.9
'0:08.490',7.9,-10.2,-11.3,-6.7
'0:08.491',8.8,-13.6,-13.1,-8.7
'0:08.492',9.8,-17.5,-15.1,-10.9
'0:08.493',11,-21.6,-17.2,-13.4
'0:08.494',12.2,-26.1,-19.5,-16.2
'0:08.495',13.4,-31,-22,-19.2
'0:08.496',14.5,-36.3,-24.4,-22.5
'0:08.497',15.6,-42.1,-26.9,-26
'0:08.498',16.6,-48.2,-29.4,-29.6
'0:08.499',17.3,-54.6,-31.8,-33.3
'0:08.500',17.6,-61.3,-34.2,-37.1
'0:08.501',17.4,-68.3,-36.3,-41
'0:08.502',16.4,-75.4,-38.1,-44.9
'0:08.503',14.7,-82.6,-39.4,-48.8
'0:08.504',12,-89.6,-40.2,-52.5
'0:08.505',8.4,-96.4,-40.4,-55.9
'0:08.506',4.2,-102.7,-40.1,-59.1
'0:08.507',-0.4,-108.4,-39.5,-61.9
'0:08.508',-4.6,-113.1,-38.7,-64.3
'0:08.509',-7.9,-116.7,-38,-66.1
'0:08.510',-10.1,-119.1,-37.3,-67.2
'0:08.511',-11.1,-119.9,-36.9,-67.5
'0:08.512',-11.1,-119.3,-36.6,-67.1
'0:08.513',-10.7,-117.1,-36.1,-65.9
'0:08.514',-10.1,-113.6,-35.2,-64
'0:08.515',-9.8,-108.8,-33.6,-61.3
'0:08.516',-10.2,-103,-31.5,-58
'0:08.517',-11.4,-96.2,-28.7,-54.1
'0:08.518',-13.4,-88.7,-25.5,-49.7
'0:08.519',-15.9,-80.3,-21.9,-44.9
'0:08.520',-18.6,-71.3,-17.9,-39.8
'0:08.521',-21.5,-61.8,-13.7,-34.6
'0:08.522',-24.4,-52,-9.5,-29.3
'0:08.523',-27.4,-42.2,-5.4,-24
'0:08.524',-30.4,-32.6,-1.5,-18.9
'0:08.525',-33.5,-23.4,2.4,-13.9
'0:08.526',-36.5,-14.6,6.1,-9.1
'0:08.527',-39.5,-6.4,9.8,-4.8
'0:08.528',-42.2,0.9,13.2,-0.9
'0:08.529',-44.8,7.2,16.3,2.5
'0:08.530',-47,12.5,19,5.4
'0:08.531',-48.5,16.9,21.3,7.8
'0:08.532',-49.2,20.4,23.1,9.7
'0:08.533',-49,23.2,24.3,11.2
'0:08.534',-47.6,25.3,24.7,12.3
'0:08.535',-45.1,26.8,24.4,13.1
'0:08.536',-41.2,27.7,23.2,13.6
'0:08.537',-36,28.4,21.3,13.9
'0:08.538',-29.8,28.7,18.9,13.9
'0:08.539',-22.9,28.8,15.9,13.8
'0:08.540',-15.8,28.6,12.7,13.5
'0:08.541',-8.6,28.2,9.3,13.2
'0:08.542',-1.8,27.4,6,12.7
'0:08.543',4.6,26.4,2.8,12.2
'0:08.544',10.2,25.4,0,11.6
'0:08.545',15.1,24.3,-2.4,11.1
'0:08.546',19.1,23.3,-4.4,10.5
'0:08.547',22.3,22.2,-6,9.9
'0:08.548',24.6,21.1,-7.4,9.4
'0:08.549',26.3,19.9,-8.5,8.8
'0:08.550',27.3,18.8,-9.3,8.2
'0:08.551',27.8,17.6,-9.7,7.7
'0:08.552',27.9,16.5,-9.8,7.3
'0:08.553',27.6,15.4,-9.8,6.9
'0:08.554',26.9,14.3,-9.7,6.5
'0:08.555',26,13.3,-9.6,6.1
'0:08.556',25,12.3,-9.4,5.7
